0.179783	-7.84198	-9.15938	14.7634	-0.847111	-0.276828	2.87788	1.39335	-0.62122	1.55574	-6.32525	1.50943	0.698957	-2.19458	0.679896	1.10852	0.822046	1.64299	1.41182	-0.714386	1.20953	4.41352	1.49419	-0.786212	1.81878	-0.847663	-0.511875	-0.500663	0.329543	-3.00836	2.63987	1.19978	1.58628	1.10867	0.662845	-1.00611	0.568057	-1.86123	2.76305	-0.13568	0.165059	-0.519421	-1.15194	-1.3093	-0.297258	-2.20187	0.37676	0.117155	-0.382676	-0.363158	 
-0.588798	-7.91861	-9.60392	14.834	-0.448204	-0.0903028	3.03375	1.51579	-0.684463	1.46395	-5.88958	1.44831	1.10532	-1.8008	0.33314	1.39441	0.865692	1.83051	1.5392	-0.183101	0.780474	3.90327	1.40387	-1.22812	1.76696	-0.991174	-0.421051	-0.447039	0.445789	-3.02831	2.73497	1.20349	2.13219	1.25287	0.173262	-0.969952	0.705343	-1.61457	3.11578	-0.406008	0.348763	-0.76323	-0.633867	-0.904891	-0.405118	-2.12686	0.420734	0.493511	-0.230038	-0.365554	 
-1.66936	-8.4097	-9.99954	15.1883	-0.136739	0.253401	3.09378	2.12265	-0.948535	1.15546	-5.37767	1.0269	1.69644	-1.60221	0.3932	1.79096	0.902257	1.85106	1.47195	0.713111	-0.0511285	3.24303	1.20022	-1.65045	1.68351	-1.0699	-0.227018	-0.354246	0.358538	-3.13725	2.80373	1.19061	2.6626	1.37566	-0.280225	-0.743179	0.740063	-1.25374	3.16419	-0.865058	0.614464	-1.34343	-0.120436	-0.396451	-0.419845	-1.73425	0.412632	0.636197	-0.409337	-0.200613	 
-2.53399	-8.42215	-10.2433	15.2563	0.259504	0.438664	3.24412	2.53261	-1.10529	0.981396	-4.91609	0.56526	2.11749	-1.37168	0.116831	1.89327	0.842503	1.65798	1.57631	1.29589	-0.483234	2.61762	0.909856	-1.98505	1.61123	-1.01029	-0.018586	-0.119896	0.122815	-2.86965	2.70891	1.02335	2.86268	1.39958	-0.593551	-0.554613	0.692668	-1.0591	3.02428	-1.10512	0.819069	-1.50732	0.236059	-0.0547876	-0.33444	-1.24127	0.4466	0.535927	-0.442165	0.0914565	 
-3.78199	-8.55972	-10.481	15.3849	0.704134	0.645897	3.15814	3.17843	-1.39882	0.612544	-4.27479	-0.140951	2.50648	-1.12913	0.00225399	1.96759	0.807688	1.25927	1.66089	1.982	-1.09236	1.93333	0.45681	-2.17096	1.43533	-0.808678	0.0554947	0.244471	-0.254459	-2.32854	2.51551	0.806689	2.8461	1.38291	-0.88653	-0.293418	0.643956	-0.610582	2.57736	-1.32595	0.999208	-1.80275	0.519356	0.108204	-0.13975	-0.663304	0.478835	0.258241	-0.806066	0.448937	 
-5.66041	-9.34341	-10.3352	15.1589	1.2444	1.03412	2.49469	3.92429	-1.62292	0.0919577	-3.34288	-1.05272	2.54824	-0.875681	-0.0187774	1.70695	0.890018	0.619744	1.64824	2.37831	-1.62171	1.19527	-0.16212	-2.03145	0.965425	-0.612757	0.0138114	0.505659	-0.461598	-1.46991	2.15529	0.183589	2.45663	1.21896	-1.08568	0.0324984	0.697764	-0.225436	1.72632	-1.42427	0.988587	-2.12277	0.809243	-0.10222	0.101886	-0.0471408	0.648774	-0.0535027	-1.34219	0.794735	 
-6.81072	-9.86364	-10.2849	15.1284	1.83275	1.34371	1.55054	5.06997	-1.80383	-0.307254	-2.92387	-1.8082	2.92441	-0.971216	0.190333	1.26169	0.970809	-0.0146455	1.19292	2.36876	-1.96426	0.259309	-0.879312	-1.63452	0.497482	-0.0360808	-0.546506	0.733791	-0.61262	-0.666963	1.53764	-0.430477	2.02959	1.09377	-1.37257	0.519725	0.734108	0.148627	0.487197	-1.48342	0.644752	-2.35797	1.18548	-0.552125	0.2849	0.310155	0.867999	-0.15595	-1.94753	1.09905	 
-8.93853	-10.8902	-10.0514	14.7763	2.88159	1.73939	-0.385119	6.16433	-1.63641	-1.06493	-1.85324	-2.69254	2.8246	-0.604566	0.654321	0.525086	1.53945	-0.469633	0.470283	1.75399	-1.83044	-0.802379	-1.79759	-0.845219	-0.2587	0.316135	-1.50246	0.693001	-0.18183	0.0865985	1.03323	-1.39612	1.55339	0.578129	-1.49789	0.767217	1.03985	-0.12067	-0.626353	-1.2338	0.754269	-1.81472	1.77263	-1.49398	0.433713	0.279756	0.932916	0.0297672	-2.31099	1.19696	 
-10.7871	-11.5175	-9.87047	14.1115	4.03496	1.97853	-1.8344	7.36155	-1.03735	-1.82739	-0.705712	-3.63252	1.82825	-0.528941	0.795527	0.15938	2.23713	-0.252305	-0.184447	1.04203	-1.28519	-1.87853	-2.50497	-0.231311	-0.854071	0.471135	-1.94814	0.32182	0.541946	0.40023	0.972282	-1.94037	1.31692	-0.0576982	-1.17946	0.611249	1.24618	-0.767388	-0.839209	-0.763708	1.00818	-0.898972	1.8616	-2.08882	0.244425	0.144532	0.537607	0.493213	-2.14425	1.26171	 
-11.0407	-10.837	-9.68526	13.404	4.5112	1.75281	-1.60017	8.37582	-0.580743	-2.12661	-0.739882	-4.04979	1.26166	-0.948965	0.624513	0.0171197	2.1446	0.00250852	-0.442001	0.668854	-0.886748	-2.23366	-2.40312	0.196335	-0.708603	0.830585	-1.75743	-0.158324	0.378441	0.511375	0.901489	-1.68214	1.23592	-0.240357	-0.754885	0.65552	1.27975	-0.713587	-0.795708	-0.698659	0.919683	-0.752263	1.74452	-2.13274	0.15399	0.0799736	0.340643	0.505915	-2.28674	0.954062	 
